,year,violent,murder,robbery,population,state,law
1047,1988,142.3,2,16,0.549766,VT,yes
1048,1989,132.8,1.9,18,0.557699,VT,yes
1049,1990,127.2,2.3,11.7,0.564526,VT,yes
1050,1991,116.8,2.1,11.8,0.567141,VT,yes
1051,1992,109.5,2.1,8.9,0.570115,VT,yes
1052,1993,114.2,3.6,9,0.574004,VT,yes
1053,1994,96.9,1,12.2,0.5789,VT,yes
1054,1995,118.3,2.2,10.9,0.582827,VT,yes
1055,1996,121.2,1.9,15.4,0.586352,VT,yes
1056,1997,119.7,1.5,13.4,0.588665,VT,yes
1057,1998,106.3,2.2,9.5,0.590579,VT,yes
1058,1999,113.8,2.9,10.9,0.59374,VT,yes
1059,1977,290,9,92.1,5.193112,VA,no
1060,1978,286.4,8.8,97.1,5.270238,VA,no
1061,1979,301,8.6,111.6,5.307945,VA,no
1062,1980,307.2,8.6,120.1,5.368334,VA,no
1063,1981,321.7,8.6,133.2,5.444106,VA,no
1064,1982,309.1,7.4,122.2,5.492773,VA,no
1065,1983,292.5,7,110.5,5.564658,VA,no
1066,1984,295.6,7.7,102.3,5.64386,VA,no
1067,1985,294.7,7.1,100.2,5.715156,VA,no
1068,1986,306,7.1,105.7,5.811691,VA,no
1069,1987,295,7.4,105.8,5.932267,VA,no
1070,1988,299.2,7.8,112.5,6.036911,VA,no
1071,1989,312.5,7.9,106.5,6.120232,VA,no
1072,1990,350.6,8.8,123.3,6.213526,VA,no
1073,1991,373.2,9.3,137.6,6.283853,VA,no
1074,1992,374.9,8.8,137.8,6.383315,VA,no
1075,1993,372.2,8.3,142,6.464795,VA,no
1076,1994,357.7,8.7,132.8,6.536771,VA,no
1077,1995,361.5,7.6,131.7,6.601392,VA,no
1078,1996,341.3,7.5,122.6,6.665491,VA,yes
1079,1997,345.2,7.2,124.5,6.732878,VA,yes
1080,1998,325.7,6.2,105.6,6.789225,VA,yes
1081,1999,314.7,5.7,101.1,6.872912,VA,yes
1082,1977,374.9,4.3,106.2,3.77605,WA,yes
1083,1978,405.3,4.6,125,3.889073,WA,yes
1084,1979,434.6,4.8,120.7,4.017632,WA,yes
1085,1980,464.3,5.5,135.1,4.154678,WA,yes
1086,1981,447.3,5.1,130,4.235731,WA,yes
1087,1982,406.4,4.4,117.9,4.276545,WA,yes
1088,1983,371.8,4.9,105.4,4.30027,WA,yes
1089,1984,406.4,4.6,120.6,4.34365,WA,yes
1090,1985,425.4,5.2,132,4.400098,WA,yes
1091,1986,437,5,135.1,4.452722,WA,yes
1092,1987,439.5,5.6,141.4,4.531891,WA,yes
1093,1988,466.4,5.7,145.9,4.639893,WA,yes
1094,1989,471.7,4.4,140.1,4.746321,WA,yes
1095,1990,501.6,4.9,130,4.90078,WA,yes
1096,1991,522.6,4.2,145.5,5.013443,WA,yes
1097,1992,534.5,5,139.8,5.139011,WA,yes
1098,1993,514.6,5.2,137.1,5.247704,WA,yes
1099,1994,511.3,5.5,139.7,5.334896,WA,yes
1100,1995,484.3,5.1,132.7,5.431024,WA,yes
1101,1996,431.2,4.6,119,5.509963,WA,yes
1102,1997,440.7,4.3,120,5.604105,WA,yes
1103,1998,428.5,3.9,115.6,5.687832,WA,yes
1104,1999,377.3,3,100.9,5.756361,WA,yes
1105,1977,152.3,6,42.2,1.908088,WV,no
1106,1978,167.7,6.8,46.3,1.923395,WV,no
1107,1979,168.1,6.8,43.9,1.942146,WV,no
1108,1980,183.7,7.1,48.5,1.951349,WV,no
1109,1981,174.8,6,50.2,1.954115,WV,no
1110,1982,174.8,5.2,49.8,1.949606,WV,no
1111,1983,171.8,4.9,44.2,1.945065,WV,no
1112,1984,168.2,4.4,38.1,1.927701,WV,no
1113,1985,166,3.8,37.6,1.906828,WV,no
1114,1986,164.5,5.9,41,1.88235,WV,no
1115,1987,137.3,4.8,31.2,1.857579,WV,no
1116,1988,131.4,4.9,34.2,1.830211,WV,no
1117,1989,146.7,6.5,42.7,1.806552,WV,no
1118,1990,169.3,5.7,37.9,1.792481,WV,yes
1119,1991,191,6.2,43.3,1.798212,WV,yes
1120,1992,211.5,6.3,43.5,1.805462,WV,yes
1121,1993,208.4,6.9,43,1.816179,WV,yes
1122,1994,215.8,5.4,42.4,1.81849,WV,yes
1123,1995,210.2,4.9,42.7,1.82056,WV,yes
1124,1996,210.1,3.8,40.4,1.818983,WV,yes
1125,1997,218.7,4.1,43.1,1.815588,WV,yes
1126,1998,248.6,4.3,37.3,1.811688,WV,yes
1127,1999,350.6,4.4,36.6,1.806928,WV,yes
1128,1977,131.5,2.8,52.2,4.626517,WI,no
1129,1978,132.2,2.5,49.9,4.646109,WI,no
1130,1979,166.1,3.4,60.5,4.682812,WI,no
1131,1980,182.6,2.9,70.7,4.712045,WI,no
1132,1981,187.9,3.4,68.6,4.726336,WI,no
1133,1982,190.5,3.1,71.2,4.728876,WI,no
1134,1983,190.9,2.8,71.9,4.721445,WI,no
1135,1984,196.5,2.5,66.4,4.735576,WI,no
1136,1985,206.9,2.8,70.2,4.747753,WI,no
1137,1986,257.9,3.1,72.8,4.755625,WI,no
1138,1987,249.9,3.5,66.4,4.77793,WI,no
1139,1988,214.4,3,67.1,4.822402,WI,no
1140,1989,222.6,3.6,75.2,4.856575,WI,no
1141,1990,264.7,4.6,112.7,4.902265,WI,no
1142,1991,277,4.8,119,4.952675,WI,no
1143,1992,275.7,4.4,119.8,5.004636,WI,no
1144,1993,264.4,4.4,113.4,5.055318,WI,no
1145,1994,270.5,4.5,112.9,5.095504,WI,no
1146,1995,281.1,4.3,105.1,5.137004,WI,no
1147,1996,252.7,4,96.6,5.173828,WI,no
1148,1997,270.6,4,100.9,5.200235,WI,no
1149,1998,249,3.6,85.6,5.222124,WI,no
1150,1999,245.9,3.4,84.7,5.250446,WI,no
1151,1977,240.9,5.4,39.7,0.413353,WY,no
1152,1978,280.4,7.1,48.1,0.432877,WY,no
1153,1979,350.9,9.1,42.2,0.454378,WY,no
1154,1980,392.6,6.2,44.4,0.474185,WY,no
1155,1981,430.1,5.5,41.9,0.491715,WY,no
1156,1982,304.2,9.2,34.3,0.506408,WY,no
1157,1983,237.2,5.8,29.8,0.510329,WY,no
1158,1984,242.1,3.3,23.1,0.504893,WY,no
1159,1985,256.8,4.3,20,0.499692,WY,no
1160,1986,293.1,5.3,22.5,0.495624,WY,no
1161,1987,283.1,2,20,0.476967,WY,no
1162,1988,314,2.5,15.1,0.465098,WY,no
1163,1989,258.3,4.4,17.1,0.458377,WY,no
1164,1990,301.4,4.9,15.9,0.453401,WY,no
1165,1991,310.2,3.3,17.2,0.457739,WY,no
1166,1992,319.5,3.6,18,0.463491,WY,no
1167,1993,286.2,3.4,17.2,0.469033,WY,no
1168,1994,272.5,3.4,16.6,0.474982,WY,no
1169,1995,254.2,2.1,17.9,0.478447,WY,yes
1170,1996,249.7,3.3,20.4,0.480085,WY,yes
1171,1997,255.2,3.5,17.7,0.480031,WY,yes
1172,1998,247.6,4.8,16.2,0.480045,WY,yes
1173,1999,232.3,2.3,15.4,0.479602,WY,yes
